,name,species,gender,breed
0,3asal,canine,F,canaan
1,Abla,canine,F,canaan
2,Abu Ain,feline,F,domestic long hair
3,Adam,feline,F,domestic shorthair
4,Aerial,canine,F,canaan
5,Alia,canine,F,canaan
6,Almond,canine,F,rottweiler
7,Alyana,feline,F,domestic shorthair
8,Amal,canine,F,pitbull
9,Amani,feline,F,domestic shorthair
10,Amara,feline,F,domestic shorthair
11,Amira,canine,F,husky
12,Angel,feline,F,scottish fold
13,Angela,feline,F,domestic shorthair
14,Anisa,feline,F,angora
15,Annabelle,canine,F,husky
16,Anouch,feline,F,domestic shorthair
17,Antar,canine,F,canaan
18,April,canine,F,canaan
19,Arlo,feline,F,domestic shorthair
20,Arnie,feline,F,domestic long hair
21,Ash,canine,F,pitbull
22,Ashley,feline,F,domestic shorthair
23,Asmahan,canine,F,canaan
24,Athena,canine,F,german shepherd
25,Ayla,feline,F,domestic shorthair
26,Ayla,canine,F,canaan
27,Aziza,canine,F,canaan
28,Baby Ritz,feline,F,domestic long hair
29,Badea,feline,F,domestic long hair
30,Bailey,canine,F,canaan
31,Balah,feline,F,domestic shorthair
32,Bana,canine,F,husky
33,barbose,feline,F,domestic shorthair
34,Batooneh,feline,F,domestic shorthair
35,Batta,feline,F,domestic shorthair
36,Beauty,feline,F,domestic long hair
37,Beauty,canine,F,canaan
38,Beily,canine,F,terrier
39,Bella,feline,F,scottish fold
40,Bella,feline,F,domestic shorthair
41,Bella,canine,F,terrier
42,Bella,canine,F,canaan
43,Bella,canine,F,german shepherd
44,Bella,canine,F,maltese terrier
45,Bella,canine,F,husky
46,Benji,canine,F,canaan
47,Betsy,canine,F,canaan
48,Biscuit,canine,F,terrier
49,Bisket,canine,F,canaan
50,Blackie,canine,F,rottweiler
51,Blanca,feline,F,chinchilla
52,Blizzard,feline,F,domestic long hair
53,Blonde,feline,F,domestic long hair
54,Blondy,feline,F,domestic shorthair
55,Blue,feline,F,domestic shorthair
56,Bo,feline,F,domestic long hair
57,Bobby,feline,F,domestic shorthair
58,Bonnie,canine,F,canaan
59,Bonnie,canine,F,canaan
60,Boo,feline,F,domestic shorthair
61,Boshra,canine,F,canaan
62,Brownie,feline,F,domestic shorthair
63,Brownie,canine,F,canaan
64,Bu Chock,feline,F,domestic shorthair
65,Bubbles,feline,F,british shorthair
66,Bubu,feline,F,domestic long hair
67,Cady,canine,F,canaan
68,Cali Baby,feline,F,domestic long hair
69,Calico,feline,F,domestic long hair
70,Calico,feline,F,domestic shorthair
71,Calio girl,feline,F,domestic long hair
72,Candy,feline,F,shirazi
73,Caramel,feline,F,domestic shorthair
74,Caramella,feline,F,british shorthair
75,Caremela,feline,F,shirazi
76,Carmel,feline,F,maine coon
77,Cat,feline,F,domestic shorthair
78,cat,feline,F,maine coon
79,cat,feline,F,domestic shorthair
80,Chanel,feline,F,scottish fold
81,Channel,canine,F,canaan
82,Charlie,feline,F,domestic long hair
83,Charlotte,canine,F,canaan
84,Chat,feline,F,domestic long hair
85,chetta,feline,F,domestic shorthair
86,Chloe,feline,F,himalayan
87,Chloé,canine,F,terrier
88,Citadel,feline,F,domestic long hair
89,clara,feline,F,domestic long hair
90,Claudette,canine,F,canaan
91,Cleopatra,feline,F,domestic long hair
92,Cockie,canine,F,labrador
93,Coco,canine,F,canaan
94,Coconut,feline,F,domestic shorthair
95,Cole,feline,F,domestic shorthair
96,Cookie,feline,F,domestic shorthair
97,Cookie,canine,F,canaan
98,Dahab,feline,F,domestic shorthair
99,Daisy,feline,F,domestic long hair
100,Daisy,canine,F,canaan
101,Daisy,feline,F,domestic long hair
102,Dalal,feline,F,domestic shorthair
103,Deleila,canine,F,pitbull
