,code,brand,provider,country,market_year
0,933,Buddy-ID,Microchip ID Systems,USA,2013
1,941,Felixcan,Felixcan,Spain,
2,947,Belcam,Belcam,Belgium,
3,953,Cromasa,Cromasa,Spain,
4,956,Trovan,Trovan Ltd.,Germany,
5,965,Buddy-ID,Microchip ID Systems,USA,2013
6,967,Identrac,Identrac,Canada,
7,968,Saint,AEG,Germany,
8,977,Avid,"Avid Identification Systems, Inc.",USA,
9,981,Datamars,"Datamars, Inc.",Switzerland,1998
10,981,PetLink,"Datamars, Inc.",Switzerland,1998
11,982,Allflex,Allflex,France,
12,985,HomeAgain,DestonFearing,USA,1995
13,985,HomeAgain,Merck Animal Health,USA,2019
14,992,BackHome,Virbac,France,2015
15,939,Microchip 4 Solutions,Electrinet,Mexico,
16,944,Micro-ID,Micro-ID,United Kingdom,
17,952,Microchip 4 Solutions,Electrinet,Mexico,
18,990,NanochipID,Viaguard,USA,
19,991,Save This Life,Save This Life,USA,
20,900,Multiple Vendors,Various,Various,
21,900,Unknown,Unknown,Unknown,
22,900,Save This Life,Save This Life,USA,
23,900,nanoCHIP,nanoCHIP,USA,
24,900,K9 Microchips,K9Microchips.com,USA,
25,900,Homeward Bound,Homeward Bound Pet,USA,
26,900,Petstablished,Petstablished,USA,
27,900,IDW-1,Worldpetnet,Poland,
